facility_id,resource_id,batch_id,quantity,received_date,expiry_date
FAC002,RES008,BAT-1049,614,2025-09-02,2026-03-13
FAC002,RES008,BAT-1050,921,2025-12-11,2027-01-09
FAC002,RES009,BAT-1051,4979,2025-11-28,2027-05-01
FAC002,RES010,BAT-1052,1548,2025-12-18,2026-05-20
FAC002,RES011,BAT-1053,3821,2025-10-22,2026-07-03
FAC002,RES012,BAT-1054,789,2025-09-02,2026-03-28
FAC002,RES012,BAT-1055,1184,2025-12-11,2027-05-24
FAC002,RES013,BAT-1056,1621,2025-11-01,2026-12-27
FAC002,RES014,BAT-1057,4514,2025-10-17,2026-12-29
FAC002,RES015,BAT-1058,6312,2025-11-22,2026-09-27
FAC002,RES016,BAT-1059,5698,2025-10-12,2026-08-19
FAC002,RES017,BAT-1060,926,2025-09-02,2026-03-13
FAC002,RES017,BAT-1061,1390,2025-12-11,2027-04-21
FAC002,RES018,BAT-1062,906,2025-11-02,2026-09-21
FAC002,RES019,BAT-1063,1118,2025-12-08,2026-12-27
FAC002,RES020,BAT-1064,8097,2025-11-15,2026-06-29
FAC002,RES021,BAT-1065,933,2025-10-26,2026-06-25
FAC002,RES022,BAT-1066,370,2025-11-26,2027-03-29
FAC002,RES023,BAT-1067,3962,2025-11-18,2027-03-01
FAC002,RES024,BAT-1068,1425,2025-09-02,2026-05-22
FAC002,RES024,BAT-1069,2138,2025-12-11,2026-12-06
FAC002,RES025,BAT-1070,609,2025-09-02,2026-02-26
FAC002,RES025,BAT-1071,914,2025-12-11,2026-10-15
FAC003,RES001,BAT-1072,5946,2025-11-23,2026-05-06
FAC003,RES002,BAT-1073,2010,2025-11-24,2027-02-03
FAC003,RES003,BAT-1074,884,2025-09-02,2026-05-01
FAC003,RES003,BAT-1075,1326,2025-12-11,2026-08-13
FAC003,RES004,BAT-1076,4772,2025-10-26,2027-04-23
FAC003,RES005,BAT-1077,2086,2025-11-16,2026-10-23
FAC003,RES006,BAT-1078,923,2025-09-02,2026-04-10
FAC003,RES006,BAT-1079,1385,2025-12-11,2026-10-26
FAC003,RES007,BAT-1080,1858,2025-11-10,2026-09-23
FAC003,RES008,BAT-1081,1254,2025-11-11,2026-09-10
FAC003,RES009,BAT-1082,6344,2025-12-14,2026-09-25
FAC003,RES010,BAT-1083,703,2025-09-02,2026-05-01
FAC003,RES010,BAT-1084,1056,2025-12-11,2026-07-29
FAC003,RES011,BAT-1085,3731,2025-11-09,2027-06-18
FAC003,RES012,BAT-1086,2532,2025-11-12,2027-01-20
FAC003,RES013,BAT-1087,1456,2025-10-05,2027-04-26
FAC003,RES014,BAT-1088,1483,2025-09-02,2026-05-15
FAC003,RES014,BAT-1089,2225,2025-12-11,2026-11-15
FAC003,RES015,BAT-1090,5800,2025-12-15,2027-07-02
FAC003,RES016,BAT-1091,1502,2025-09-02,2026-04-12
FAC003,RES016,BAT-1092,2254,2025-12-11,2027-06-23
FAC003,RES017,BAT-1093,1445,2025-09-02,2026-02-24
FAC003,RES017,BAT-1094,2169,2025-12-11,2027-07-10
FAC003,RES018,BAT-1095,254,2025-09-02,2026-05-21
FAC003,RES018,BAT-1096,382,2025-12-11,2026-10-21
FAC003,RES019,BAT-1097,1556,2025-12-10,2027-01-06
FAC003,RES020,BAT-1098,5268,2025-11-30,2027-06-16
FAC003,RES021,BAT-1099,350,2024-08-18,2026-01-25
FAC003,RES022,BAT-1100,475,2025-10-04,2026-09-29
FAC003,RES023,BAT-1101,4448,2025-10-08,2026-09-17
FAC003,RES024,BAT-1102,1816,2025-09-02,2026-05-12
FAC003,RES024,BAT-1103,2725,2025-12-11,2027-03-17
FAC003,RES025,BAT-1104,1132,2025-10-31,2026-12-25
FAC004,RES001,BAT-1105,5532,2025-10-04,2027-01-03
FAC004,RES002,BAT-1106,1995,2025-10-26,2026-08-25
FAC004,RES003,BAT-1107,1103,2025-09-02,2026-02-18
FAC004,RES003,BAT-1108,1656,2025-12-11,2027-08-15
FAC004,RES004,BAT-1109,1132,2025-09-02,2026-04-28
FAC004,RES004,BAT-1110,1698,2025-12-11,2026-12-06
FAC004,RES005,BAT-1111,2904,2025-12-06,2026-05-27
FAC004,RES006,BAT-1112,456,2025-09-02,2026-03-26
FAC004,RES006,BAT-1113,684,2025-12-11,2026-12-24
FAC004,RES007,BAT-1114,1188,2025-09-02,2026-02-14
FAC004,RES007,BAT-1115,1783,2025-12-11,2026-11-30
FAC004,RES008,BAT-1116,1487,2025-12-13,2026-10-28
FAC004,RES009,BAT-1117,2176,2025-09-02,2026-05-29
FAC004,RES009,BAT-1118,3264,2025-12-11,2027-04-06
FAC004,RES010,BAT-1119,3315,2025-10-18,2026-07-18
FAC004,RES011,BAT-1120,4648,2025-10-06,2026-07-28
FAC004,RES012,BAT-1121,1084,2025-09-02,2026-04-01
FAC004,RES012,BAT-1122,1626,2025-12-11,2027-04-30
FAC004,RES013,BAT-1123,505,2025-09-02,2026-03-11
FAC004,RES013,BAT-1124,758,2025-12-11,2027-03-23
FAC004,RES014,BAT-1125,1103,2025-09-02,2026-04-14
FAC004,RES014,BAT-1126,1656,2025-12-11,2027-02-26
FAC004,RES015,BAT-1127,2450,2025-09-02,2026-04-01
FAC004,RES015,BAT-1128,3675,2025-12-11,2027-05-01
FAC004,RES016,BAT-1129,6659,2025-10-07,2026-10-26
FAC004,RES017,BAT-1130,765,2025-09-02,2026-02-14
FAC004,RES017,BAT-1131,1148,2025-12-11,2027-08-04
FAC004,RES018,BAT-1132,440,2025-09-02,2026-03-16
FAC004,RES018,BAT-1133,661,2025-12-11,2027-02-07
FAC004,RES019,BAT-1134,1413,2025-11-28,2027-06-12
FAC004,RES020,BAT-1135,6242,2025-10-04,2027-04-05
FAC004,RES021,BAT-1136,220,2025-09-02,2026-04-28
FAC004,RES021,BAT-1137,330,2025-12-11,2027-04-22
FAC004,RES022,BAT-1138,303,2025-11-05,2026-12-20
FAC004,RES023,BAT-1139,1208,2025-09-02,2026-03-15
FAC004,RES023,BAT-1140,1813,2025-12-11,2026-08-19
FAC004,RES024,BAT-1141,1331,2025-09-02,2026-05-10
FAC004,RES024,BAT-1142,1998,2025-12-11,2027-06-24
FAC004,RES025,BAT-1143,523,2025-09-02,2026-03-31
FAC004,RES025,BAT-1144,785,2025-12-11,2026-11-14
FAC005,RES001,BAT-1145,1996,2025-11-15,2026-09-23
FAC005,RES002,BAT-1146,744,2025-11-06,2026-05-26
FAC005,RES003,BAT-1147,700,2025-12-07,2026-08-27
FAC005,RES004,BAT-1148,1344,2025-11-07,2026-10-17
FAC005,RES005,BAT-1149,666,2025-09-02,2026-03-03
FAC005,RES005,BAT-1150,1000,2025-12-11,2026-11-05
FAC005,RES006,BAT-1151,680,2025-10-19,2027-06-03
FAC005,RES007,BAT-1152,671,2025-11-08,2027-06-01
FAC005,RES008,BAT-1153,516,2025-12-17,2026-05-31
FAC005,RES009,BAT-1154,1102,2025-09-02,2026-04-25
FAC005,RES009,BAT-1155,1654,2025-12-11,2027-01-02
FAC005,RES010,BAT-1156,488,2025-09-02,2026-05-10
FAC005,RES010,BAT-1157,733,2025-12-11,2026-09-13
FAC005,RES011,BAT-1158,1466,2025-10-09,2026-07-11
FAC005,RES012,BAT-1159,1036,2025-10-28,2027-03-22
FAC005,RES013,BAT-1160,479,2025-11-08,2027-03-04
FAC005,RES014,BAT-1161,1246,2025-12-14,2027-04-22
FAC005,RES015,BAT-1162,2306,2025-11-02,2027-02-28
FAC005,RES016,BAT-1163,1189,2025-09-02,2026-04-22
FAC005,RES016,BAT-1164,1784,2025-12-11,2027-05-11
FAC005,RES017,BAT-1165,1695,2025-11-22,2026-11-08
FAC005,RES018,BAT-1166,200,2025-09-02,2026-05-05
FAC005,RES018,BAT-1167,302,2025-12-11,2026-11-24
FAC005,RES019,BAT-1168,313,2025-09-02,2026-04-07
FAC005,RES019,BAT-1169,471,2025-12-11,2027-02-20
FAC005,RES020,BAT-1170,3775,2025-10-27,2026-08-05
FAC005,RES021,BAT-1171,350,2025-12-21,2027-02-27
FAC005,RES022,BAT-1172,212,2025-12-05,2027-03-31
FAC005,RES023,BAT-1173,1954,2025-12-07,2027-03-23
FAC005,RES024,BAT-1174,940,2025-11-09,2026-12-06
FAC005,RES025,BAT-1175,308,2025-09-02,2026-03-21
FAC005,RES025,BAT-1176,464,2025-12-11,2027-08-03
FAC006,RES001,BAT-1177,883,2025-09-02,2026-04-26
FAC006,RES001,BAT-1178,1325,2025-12-11,2026-11-30
FAC006,RES002,BAT-1179,1341,2025-10-08,2026-11-02
FAC006,RES003,BAT-1180,337,2025-09-02,2026-03-19
FAC006,RES003,BAT-1181,507,2025-12-11,2026-09-20
FAC006,RES004,BAT-1182,1486,2025-11-19,2026-06-03
FAC006,RES005,BAT-1183,1518,2025-12-18,2027-01-12
FAC006,RES006,BAT-1184,371,2025-09-02,2026-05-23
FAC006,RES006,BAT-1185,557,2025-12-11,2027-05-16
FAC006,RES007,BAT-1186,1029,2025-10-28,2026-08-06
FAC006,RES008,BAT-1187,651,2025-10-26,2027-03-09
FAC006,RES009,BAT-1188,3687,2025-10-13,2026-11-06
FAC006,RES010,BAT-1189,313,2025-09-02,2026-02-16
FAC006,RES010,BAT-1190,470,2025-12-11,2027-03-30
FAC006,RES011,BAT-1191,1062,2025-11-06,2026-11-06
FAC006,RES012,BAT-1192,432,2025-09-02,2026-04-08
FAC006,RES012,BAT-1193,650,2025-12-11,2026-09-06
FAC006,RES013,BAT-1194,158,2025-09-02,2026-05-09
FAC006,RES013,BAT-1195,239,2025-12-11,2027-04-08
FAC006,RES014,BAT-1196,1001,2025-09-02,2026-05-21
FAC006,RES014,BAT-1197,1502,2025-12-11,2026-09-11
FAC006,RES015,BAT-1198,2656,2025-10-14,2027-03-11
FAC006,RES016,BAT-1199,2050,2025-11-20,2026-09-04
FAC006,RES017,BAT-1200,954,2025-10-09,2026-07-13
FAC006,RES018,BAT-1201,147,2025-09-02,2026-04-29
FAC006,RES018,BAT-1202,222,2025-12-11,2027-03-10
FAC006,RES019,BAT-1203,353,2025-10-09,2026-07-10
FAC006,RES020,BAT-1204,4103,2025-10-08,2027-03-09
FAC006,RES021,BAT-1205,225,2025-11-29,2027-02-05
FAC006,RES022,BAT-1206,227,2025-11-03,2027-01-31
FAC006,RES023,BAT-1207,759,2025-09-02,2026-02-21
FAC006,RES023,BAT-1208,1139,2025-12-11,2026-11-17
FAC006,RES024,BAT-1209,674,2025-09-02,2026-03-07
FAC006,RES024,BAT-1210,1012,2025-12-11,2027-04-24
FAC006,RES025,BAT-1211,571,2025-10-13,2027-04-17
FAC007,RES001,BAT-1212,2727,2025-12-18,2027-01-27
FAC007,RES002,BAT-1213,824,2025-10-11,2027-06-17
FAC007,RES003,BAT-1214,1096,2025-12-19,2026-06-03
FAC007,RES004,BAT-1215,2219,2025-12-04,2027-06-15
FAC007,RES005,BAT-1216,1810,2025-10-28,2026-06-02
FAC007,RES006,BAT-1217,50,2024-01-31,2025-12-26
FAC007,RES006,BAT-1218,700,2025-12-11,2026-10-27
FAC007,RES007,BAT-1219,1153,2025-11-08,2027-05-12
FAC007,RES008,BAT-1220,198,2025-09-02,2026-05-29
FAC007,RES008,BAT-1221,298,2025-12-11,2027-07-12
FAC007,RES009,BAT-1222,2578,2025-11-06,2027-03-04
FAC007,RES010,BAT-1223,497,2025-09-02,2026-05-11
FAC007,RES010,BAT-1224,747,2025-12-11,2026-11-16
FAC007,RES011,BAT-1225,1454,2025-10-30,2027-05-30
FAC007,RES012,BAT-1226,947,2025-12-02,2026-05-12
FAC007,RES013,BAT-1227,518,2025-10-28,2027-05-24
FAC007,RES014,BAT-1228,539,2025-09-02,2026-05-08
FAC007,RES014,BAT-1229,809,2025-12-11,2026-12-12
FAC007,RES015,BAT-1230,2216,2025-12-07,2026-07-14
FAC007,RES016,BAT-1231,2679,2025-11-16,2026-10-18
FAC007,RES017,BAT-1232,1485,2025-12-18,2027-03-30
FAC007,RES018,BAT-1233,126,2025-09-02,2026-04-11
FAC007,RES018,BAT-1234,191,2025-12-11,2026-11-03
FAC007,RES019,BAT-1235,258,2025-09-02,2026-05-05
FAC007,RES019,BAT-1236,389,2025-12-11,2026-10-08
FAC007,RES020,BAT-1237,1383,2025-09-02,2026-02-19
FAC007,RES020,BAT-1238,2075,2025-12-11,2026-10-10
FAC007,RES021,BAT-1239,415,2025-10-22,2026-12-10
FAC007,RES022,BAT-1240,192,2025-10-07,2026-10-07
FAC007,RES023,BAT-1241,2151,2025-11-04,2026-05-18
FAC007,RES024,BAT-1242,712,2025-09-02,2026-05-07
FAC007,RES024,BAT-1243,1068,2025-12-11,2026-09-03
FAC007,RES025,BAT-1244,758,2025-10-23,2026-06-05
FAC008,RES001,BAT-1245,2310,2025-11-15,2026-11-27
FAC008,RES002,BAT-1246,1080,2025-10-27,2026-10-08
FAC008,RES003,BAT-1247,740,2025-10-26,2027-04-22
FAC008,RES004,BAT-1248,1987,2025-10-20,2026-07-27
FAC008,RES005,BAT-1249,1295,2025-11-13,2027-06-01
FAC008,RES006,BAT-1250,662,2025-10-09,2027-06-02
FAC008,RES007,BAT-1251,1241,2025-11-17,2027-03-28
FAC008,RES008,BAT-1252,819,2025-12-11,2027-02-04
FAC008,RES009,BAT-1253,3627,2025-12-10,2026-11-19
FAC008,RES010,BAT-1254,548,2025-09-02,2026-04-02
FAC008,RES010,BAT-1255,824,2025-12-11,2027-06-12
FAC008,RES011,BAT-1256,1843,2025-10-15,2026-06-24
FAC008,RES012,BAT-1257,695,2025-10-09,2027-06-25
FAC008,RES013,BAT-1258,761,2025-10-09,2026-12-06
FAC008,RES014,BAT-1259,2405,2025-11-04,2026-12-21
FAC008,RES015,BAT-1260,2294,2025-10-25,2027-01-11
FAC008,RES016,BAT-1261,2646,2025-11-01,2026-05-03
FAC008,RES017,BAT-1262,1623,2025-11-05,2026-06-01
FAC008,RES018,BAT-1263,444,2025-11-12,2027-01-26
FAC008,RES019,BAT-1264,263,2025-09-02,2026-02-27
FAC008,RES019,BAT-1265,396,2025-12-11,2027-01-21
FAC008,RES020,BAT-1266,1844,2025-10-23,2026-10-13
FAC008,RES021,BAT-1267,146,2025-09-02,2026-05-25
FAC008,RES021,BAT-1268,221,2025-12-11,2026-10-11
FAC008,RES022,BAT-1269,199,2025-12-20,2026-07-01
FAC008,RES023,BAT-1270,445,2025-09-02,2026-04-09
FAC008,RES023,BAT-1271,669,2025-12-11,2026-08-08
FAC008,RES024,BAT-1272,1809,2025-10-19,2026-10-22
FAC008,RES025,BAT-1273,158,2025-09-02,2026-02-25
FAC008,RES025,BAT-1274,239,2025-12-11,2027-06-16
FAC009,RES001,BAT-1275,1258,2025-09-02,2026-04-12
FAC009,RES001,BAT-1276,1887,2025-12-11,2027-07-08
FAC009,RES002,BAT-1277,519,2025-09-02,2026-04-06
FAC009,RES002,BAT-1278,779,2025-12-11,2027-05-09
FAC009,RES003,BAT-1279,684,2025-10-23,2027-02-18
FAC009,RES004,BAT-1280,2234,2025-10-11,2027-01-06
FAC009,RES005,BAT-1281,442,2025-09-02,2026-04-26
FAC009,RES005,BAT-1282,664,2025-12-11,2027-05-03
FAC009,RES006,BAT-1283,401,2025-09-02,2026-05-01
FAC009,RES006,BAT-1284,603,2025-12-11,2027-03-23
FAC009,RES007,BAT-1285,288,2025-09-02,2026-04-17
FAC009,RES007,BAT-1286,433,2025-12-11,2027-06-16
FAC009,RES008,BAT-1287,699,2025-11-01,2026-10-15
FAC009,RES009,BAT-1288,2474,2025-10-20,2026-08-25
FAC009,RES010,BAT-1289,468,2025-09-02,2026-03-28
FAC009,RES010,BAT-1290,703,2025-12-11,2026-09-05
FAC009,RES011,BAT-1291,888,2025-09-02,2026-03-13
FAC009,RES011,BAT-1292,1334,2025-12-11,2026-10-27
FAC009,RES012,BAT-1293,483,2025-09-02,2026-05-08
FAC009,RES012,BAT-1294,725,2025-12-11,2027-05-21
FAC009,RES013,BAT-1295,639,2025-11-20,2026-11-21
FAC009,RES014,BAT-1296,944,2025-09-02,2026-03-24
FAC009,RES014,BAT-1297,1416,2025-12-11,2027-04-17
FAC009,RES015,BAT-1298,1362,2025-09-02,2026-03-22
FAC009,RES015,BAT-1299,2043,2025-12-11,2026-10-04
FAC009,RES016,BAT-1300,2142,2025-12-01,2026-09-10
FAC009,RES017,BAT-1301,1181,2025-10-29,2027-02-12
FAC009,RES018,BAT-1302,236,2025-09-02,2026-03-31
FAC009,RES018,BAT-1303,354,2025-12-11,2027-08-10
FAC009,RES019,BAT-1304,436,2025-11-17,2027-01-29
FAC009,RES020,BAT-1305,3644,2025-10-20,2027-02-23
FAC009,RES021,BAT-1306,102,2025-09-02,2026-05-26
FAC009,RES021,BAT-1307,154,2025-12-11,2027-07-14
FAC009,RES022,BAT-1308,153,2025-10-25,2026-08-10
FAC009,RES023,BAT-1309,1508,2025-12-06,2027-04-18
FAC009,RES024,BAT-1310,1823,2025-11-06,2026-05-11
FAC009,RES025,BAT-1311,150,2025-09-02,2026-04-28
FAC009,RES025,BAT-1312,225,2025-12-11,2027-03-30
FAC010,RES001,BAT-1313,986,2025-09-02,2026-04-02
FAC010,RES001,BAT-1314,1480,2025-12-11,2026-09-05
FAC010,RES002,BAT-1315,1419,2025-10-09,2026-08-19
FAC010,RES003,BAT-1316,271,2025-09-02,2026-03-10
FAC010,RES003,BAT-1317,407,2025-12-11,2027-05-03
FAC010,RES004,BAT-1318,1365,2025-12-14,2027-05-29
FAC010,RES005,BAT-1319,1536,2025-12-03,2027-04-20
FAC010,RES006,BAT-1320,817,2025-11-12,2026-12-10
FAC010,RES007,BAT-1321,368,2025-09-02,2026-03-29
FAC010,RES007,BAT-1322,552,2025-12-11,2026-10-03
FAC010,RES008,BAT-1323,694,2025-11-15,2026-05-22
FAC010,RES009,BAT-1324,4468,2025-10-06,2027-01-04
FAC010,RES010,BAT-1325,1157,2025-11-16,2026-07-04
FAC010,RES011,BAT-1326,883,2025-09-02,2026-05-16
FAC010,RES011,BAT-1327,1325,2025-12-11,2027-04-01
FAC010,RES012,BAT-1328,877,2025-11-05,2027-01-08
FAC010,RES013,BAT-1329,645,2025-10-04,2027-03-25
FAC010,RES014,BAT-1330,2080,2025-10-04,2026-06-17
FAC010,RES015,BAT-1331,2076,2025-11-18,2026-09-01
FAC010,RES016,BAT-1332,2125,2025-12-13,2026-05-25
FAC010,RES017,BAT-1333,388,2025-09-02,2026-02-16
FAC010,RES017,BAT-1334,582,2025-12-11,2027-03-23
FAC010,RES018,BAT-1335,599,2025-11-08,2026-10-21
FAC010,RES019,BAT-1336,422,2025-12-14,2027-05-21
FAC010,RES020,BAT-1337,1334,2025-09-02,2026-03-16
FAC010,RES020,BAT-1338,2002,2025-12-11,2026-12-04
FAC010,RES021,BAT-1339,354,2025-12-18,2026-10-04
FAC010,RES022,BAT-1340,201,2025-10-31,2026-08-16
FAC010,RES023,BAT-1341,1576,2025-10-21,2027-05-11
FAC010,RES024,BAT-1342,713,2025-09-02,2026-05-15
FAC010,RES024,BAT-1343,1071,2025-12-11,2027-03-20
FAC010,RES025,BAT-1344,461,2025-10-05,2026-11-10
FAC011,RES001,BAT-1345,3495,2025-11-28,2026-07-22
FAC011,RES002,BAT-1346,835,2025-12-06,2026-05-29
FAC011,RES003,BAT-1347,684,2025-11-10,2027-06-13
FAC011,RES004,BAT-1348,2867,2025-12-16,2026-10-21
FAC011,RES005,BAT-1349,646,2025-09-02,2026-03-17
FAC011,RES005,BAT-1350,970,2025-12-11,2027-05-14
FAC011,RES006,BAT-1351,227,2025-09-02,2026-05-11
FAC011,RES006,BAT-1352,342,2025-12-11,2027-08-12
FAC011,RES007,BAT-1353,540,2025-09-02,2026-02-18
FAC011,RES007,BAT-1354,811,2025-12-11,2027-08-06
FAC011,RES008,BAT-1355,934,2025-10-05,2027-05-21
FAC011,RES009,BAT-1356,1695,2025-09-02,2026-04-06
FAC011,RES009,BAT-1357,2544,2025-12-11,2026-08-08
FAC011,RES010,BAT-1358,1101,2025-11-09,2027-04-16
FAC011,RES011,BAT-1359,2072,2025-10-15,2026-09-04
FAC011,RES012,BAT-1360,999,2025-11-16,2027-06-19
FAC011,RES013,BAT-1361,587,2025-11-28,2026-08-31
FAC011,RES014,BAT-1362,836,2025-09-02,2026-05-27
FAC011,RES014,BAT-1363,1254,2025-12-11,2027-02-28
FAC011,RES015,BAT-1364,2245,2025-11-26,2026-06-15
FAC011,RES016,BAT-1365,1260,2025-09-02,2026-05-03
FAC011,RES016,BAT-1366,1890,2025-12-11,2027-04-03
FAC011,RES017,BAT-1367,1515,2025-10-13,2027-03-28
FAC011,RES018,BAT-1368,322,2025-10-08,2026-10-07
FAC011,RES019,BAT-1369,263,2025-09-02,2026-05-05
FAC011,RES019,BAT-1370,396,2025-12-11,2027-08-03
FAC011,RES020,BAT-1371,1404,2025-09-02,2026-04-10
FAC011,RES020,BAT-1372,2106,2025-12-11,2027-06-30
FAC011,RES021,BAT-1373,136,2025-09-02,2026-05-07
FAC011,RES021,BAT-1374,205,2025-12-11,2026-08-15
FAC011,RES022,BAT-1375,139,2025-11-02,2026-09-18
FAC011,RES023,BAT-1376,479,2025-09-02,2026-05-19
FAC011,RES023,BAT-1377,719,2025-12-11,2027-08-05
FAC011,RES024,BAT-1378,636,2025-09-02,2026-03-28
FAC011,RES024,BAT-1379,956,2025-12-11,2026-10-31
FAC011,RES025,BAT-1380,596,2025-11-23,2027-04-22
FAC012,RES001,BAT-1381,3149,2025-11-30,2026-10-01
FAC012,RES002,BAT-1382,949,2025-10-17,2027-04-14
FAC012,RES003,BAT-1383,384,2025-09-02,2026-03-12
FAC012,RES003,BAT-1384,578,2025-12-11,2026-11-28
FAC012,RES004,BAT-1385,1580,2025-10-23,2027-02-05
FAC012,RES005,BAT-1386,549,2025-09-02,2026-04-24
FAC012,RES005,BAT-1387,825,2025-12-11,2027-08-22
FAC012,RES006,BAT-1388,432,2025-09-02,2026-02-25
FAC012,RES006,BAT-1389,649,2025-12-11,2026-11-13
FAC012,RES007,BAT-1390,1031,2025-10-14,2026-05-30
FAC012,RES008,BAT-1391,221,2025-09-02,2026-02-23
FAC012,RES008,BAT-1392,332,2025-12-11,2027-05-03
FAC012,RES009,BAT-1393,1331,2025-09-02,2026-04-23
FAC012,RES009,BAT-1394,1998,2025-12-11,2027-04-22
FAC012,RES010,BAT-1395,1235,2025-11-26,2027-03-31
FAC012,RES011,BAT-1396,1405,2025-11-22,2026-12-30
FAC012,RES012,BAT-1397,1204,2025-10-10,2027-01-03
FAC012,RES013,BAT-1398,788,2025-12-09,2027-05-21
FAC012,RES014,BAT-1399,488,2025-09-02,2026-04-14
FAC012,RES014,BAT-1400,734,2025-12-11,2026-10-10
FAC012,RES015,BAT-1401,1656,2025-12-18,2026-05-31
FAC012,RES016,BAT-1402,1836,2025-11-10,2027-02-15
FAC012,RES017,BAT-1403,547,2025-09-02,2026-03-06
FAC012,RES017,BAT-1404,822,2025-12-11,2027-05-17
FAC012,RES018,BAT-1405,240,2025-09-02,2026-02-19
FAC012,RES018,BAT-1406,361,2025-12-11,2026-08-16
FAC012,RES019,BAT-1407,753,2025-10-05,2027-03-28
FAC012,RES020,BAT-1408,3053,2025-12-10,2027-02-24
FAC012,RES021,BAT-1409,124,2025-09-02,2026-02-25
FAC012,RES021,BAT-1410,188,2025-12-11,2027-01-09
FAC012,RES022,BAT-1411,86,2025-09-02,2026-04-22
FAC012,RES022,BAT-1412,129,2025-12-11,2026-10-18
FAC012,RES023,BAT-1413,728,2025-09-02,2026-04-06
FAC012,RES023,BAT-1414,1093,2025-12-11,2027-05-14
FAC012,RES024,BAT-1415,446,2025-09-02,2026-05-18
FAC012,RES024,BAT-1416,669,2025-12-11,2026-09-13
FAC012,RES025,BAT-1417,484,2025-11-22,2026-11-15
FAC013,RES001,BAT-1418,1201,2025-10-03,2027-06-28
FAC013,RES002,BAT-1419,472,2025-11-29,2027-02-15
FAC013,RES003,BAT-1420,302,2025-11-25,2027-06-19
FAC013,RES004,BAT-1421,351,2025-09-02,2026-02-26
FAC013,RES004,BAT-1422,527,2025-12-11,2027-03-10
FAC013,RES005,BAT-1423,449,2025-10-13,2027-01-06
FAC013,RES006,BAT-1424,219,2025-12-12,2026-07-28
FAC013,RES007,BAT-1425,291,2025-10-10,2027-06-27
FAC013,RES008,BAT-1426,171,2025-11-26,2026-09-06
FAC013,RES009,BAT-1427,947,2025-11-04,2027-03-05
FAC013,RES010,BAT-1428,528,2025-10-23,2027-06-22
FAC013,RES011,BAT-1429,262,2025-09-02,2026-02-28
