resource_id,supplier_id,quantity,order_date,delivery_date,lead_time_days,unit_price
RES024,SUP004,4401,2025-02-27,2025-03-02,3,1.4
RES015,SUP001,21379,2025-05-11,2025-05-18,7,0.7
RES010,SUP001,5581,2025-05-14,2025-05-21,7,0.4
RES018,SUP001,2791,2025-02-18,2025-02-25,7,15.0
RES004,SUP002,4606,2025-11-25,2025-11-30,5,2.5
RES023,SUP001,14509,2025-09-30,2025-10-10,10,1.2
RES008,SUP001,2170,2025-02-13,2025-02-18,5,1.5
RES001,SUP004,10082,2025-02-18,2025-02-23,5,0.4
RES003,SUP001,2189,2025-11-18,2025-11-23,5,0.5
RES023,SUP003,13015,2025-05-30,2025-06-02,3,1.2
RES002,SUP004,5097,2025-02-05,2025-02-08,3,0.6
RES009,SUP001,16834,2025-11-08,2025-11-18,10,0.3
RES001,SUP002,15153,2025-01-25,2025-01-30,5,0.4
RES004,SUP004,9501,2025-11-04,2025-11-11,7,2.5
RES020,SUP001,12609,2025-04-18,2025-04-23,5,0.2
RES018,SUP004,2539,2025-02-12,2025-02-19,7,15.0
RES002,SUP003,7180,2025-05-12,2025-05-17,5,0.6
RES010,SUP002,5678,2025-09-24,2025-10-01,7,0.4
RES005,SUP002,4367,2025-08-11,2025-08-18,7,6.0
RES008,SUP003,2281,2025-07-10,2025-07-17,7,1.5
RES024,SUP004,8241,2025-11-22,2025-12-02,10,1.4
RES024,SUP002,10351,2025-10-11,2025-10-21,10,1.4
RES004,SUP003,9787,2025-08-15,2025-08-25,10,2.5
RES013,SUP001,3508,2025-08-11,2025-08-21,10,8.5
RES024,SUP001,12925,2025-09-07,2025-09-10,3,1.4
RES023,SUP002,13758,2025-04-30,2025-05-07,7,1.2
RES011,SUP001,9368,2025-09-03,2025-09-08,5,1.8
RES006,SUP002,6656,2025-05-05,2025-05-15,10,12.0
RES007,SUP002,7344,2025-09-09,2025-09-19,10,3.0
